area_type,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07
Plot  Area,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120
Built-up  Area,Uttarahalli,3 BHK,,1440,2,3,62
Super built-up  Area,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95
Super built-up  Area,Kothanur,2 BHK,,1200,2,1,51
Super built-up  Area,Whitefield,2 BHK,DuenaTa,1170,2,1,38
Super built-up  Area,Old Airport Road,4 BHK,Jaades ,2732,4,,204
Super built-up  Area,Rajaji Nagar,4 BHK,Brway G,3300,4,,600
Super built-up  Area,Marathahalli,3 BHK,,1310,3,1,63.25
Plot  Area,Gandhi Bazar,6 Bedroom,,1020,6,,370
Super built-up  Area,Whitefield,3 BHK,,1800,2,2,70
Plot  Area,Whitefield,4 Bedroom,Prrry M,2785,5,3,295
Super built-up  Area,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38
Built-up  Area,Gottigere,2 BHK,,1100,2,2,40
Plot  Area,Sarjapur,3 Bedroom,Skityer,2250,3,2,148
Super built-up  Area,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5
Super built-up  Area,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60
Super built-up  Area,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290
Super built-up  Area,Manayata Tech Park,2 BHK,,1100,2,2,48
Built-up  Area,Kengeri,1 BHK,,600,1,1,15
Super built-up  Area,Binny Pete,3 BHK,She 2rk,1755,3,1,122
Plot  Area,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380
Super built-up  Area,Bellandur,3 BHK,,1767,3,1,103
Super built-up  Area, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25
Super built-up  Area,Mangammanapalya,3 BHK,,1250,3,2,56
Super built-up  Area,Electronic City,2 BHK,Itelaa ,660,1,1,23.1
Built-up  Area,Whitefield,3 BHK,,1610,3,2,81
Super built-up  Area,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77
Super built-up  Area,Electronic City,3 BHK,KBityo ,1025,2,1,47
Super built-up  Area,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,186
Super built-up  Area,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35
Super built-up  Area,Hebbal,3 BHK,Mahosya,1760,2,2,123
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39
Built-up  Area,Kasturi Nagar,3 BHK,Kantsce,1925,3,,125
Super built-up  Area,Kanakpura Road,2 BHK,PrarePa,700,2,1,36
Super built-up  Area,Electronics City Phase 1,2 BHK,,1070,2,1,45.5
Super built-up  Area,Kundalahalli,3 BHK,Dieldli,1724,3,2,125
Super built-up  Area,Chikkalasandra,3 BHK,,1290,2,2,56.12
Built-up  Area,Uttarahalli,2 BHK,,1143,2,2,45
Built-up  Area,Murugeshpalya,2 BHK,Gentson,1296,2,,81
Super built-up  Area,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38
Super built-up  Area,Ganga Nagar,1 BHK,Ceove G,600,1,0,38
Plot  Area,Yelahanka,1 Bedroom,,660,1,0,48
Super built-up  Area,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,91.79
Plot  Area,HSR Layout,8 Bedroom,,600,9,,200
Super built-up  Area,Doddathoguru,2 BHK,LancyRe,970,2,0,33
Super built-up  Area,Whitefield,2 BHK,Goted U,1459,2,1,94.82
Plot  Area,KR Puram,2 Bedroom,,800,1,1,130
Built-up  Area,Himagiri Meadows,2 BHK,,869,2,1,36
Super built-up  Area,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50
Super built-up  Area,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99
Built-up  Area,Whitefield,3 BHK,Suent V,2010,3,2,91
Super built-up  Area,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75
Super built-up  Area,Yelahanka,3 BHK,NCowsar,1600,2,3,75
Super built-up  Area,Begur Road,2 BHK,Dhalsh ,1200,2,2,44
Built-up  Area,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192
Super built-up  Area,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185
Plot  Area,Murugeshpalya,6 Bedroom,,1407,4,1,150
Super built-up  Area,Govindaraja Nagar Ward,2 BHK,,840,2,2,45
Plot  Area,Tharabanahalli,3 Bedroom,,4395,3,2,240
Super built-up  Area,Ganga Nagar,2 BHK,Laavevi,845,2,1,55
Plot  Area,Whitefield,4 Bedroom,Chranya,5700,5,3,650
Built-up  Area,Varthur,2 BHK,HioraTr,1160,2,2,44
Built-up  Area,Bommanahalli,8 Bedroom,,3000,8,0,140
Super built-up  Area,Doddathoguru,2 BHK,,1100,2,1,62
Super built-up  Area,Gunjur,2 BHK,BMineis,1140,2,3,43
Super built-up  Area,Marathahalli,2 BHK,,1220,2,1,57
Plot  Area,Devarachikkanahalli,8 Bedroom,,1350,7,0,85
Super built-up  Area,Kanakpura Road,2 BHK,,1005,2,1,36.68
Plot  Area,Double Road,3 Bedroom,,500,3,2,100
Super built-up  Area,Begur Road,2 BHK,Pruthg ,1358,2,1,80.58
Super built-up  Area,Hegde Nagar,3 BHK,Sonosty,1569,3,1,101
Super built-up  Area,Haralur Road,2 BHK,SNnia E,1240,2,1,70
Super built-up  Area,Hennur Road,3 BHK,Anavi B,2089,3,2,140
Super built-up  Area,Kothannur,2 BHK,,1206,2,1,48.23
Super built-up  Area,Kalena Agrahara,2 BHK,,1150,2,3,40
Built-up  Area,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,205
Built-up  Area,Kaval Byrasandra,2 BHK,,460,1,0,22
Built-up  Area,ISRO Layout,6 Bedroom,,4400,6,3,250
Super built-up  Area,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,105
Built-up  Area,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,224.5
Super built-up  Area,Yelahanka,2 BHK,Niareum,1326,2,2,78
Super built-up  Area,Garudachar Palya,3 BHK,,1325,2,2,60.8
Super built-up  Area,EPIP Zone,3 BHK,SJlynro,1499,5,2,102
Built-up  Area,Hegde Nagar,6 Bedroom,,3000,7,2,210
Super built-up  Area,Kanakpura Road,3 BHK,,1665,3,2,88
Super built-up  Area,Dasanapura,2 BHK,Tavenew,708,2,2,37
Super built-up  Area,Kasavanhalli,2 BHK,Srire S,1060,2,2,58.06
Plot  Area,Rajaji Nagar,6 Bedroom,,710,6,3,160
Built-up  Area,Sanjay nagar,2 BHK,Saenti ,1000,2,2,70
Super built-up  Area,Electronic City,2 BHK,,1000,2,1,28.88
Super built-up  Area, Mysore Highway,3 BHK,,1450,2,2,70
Plot  Area,ISRO Layout,4 Bedroom,,1200,4,2,155
