"","area_type","location","size","society","total_sqft","bath","balcony","price"
"1","Super built-up  Area","Electronic City Phase II",2,"Coomee ",1056,2,1,39.07
"2","Plot  Area","Chikka Tirupathi",4,"Theanmp",2600,5,3,120
"3","Built-up  Area","Uttarahalli",3,"Unknown",1440,2,3,62
"4","Super built-up  Area","Lingadheeranahalli",3,"Soiewre",1521,3,1,95
"5","Super built-up  Area","Kothanur",2,"Unknown",1200,2,1,51
"6","Super built-up  Area","Whitefield",2,"DuenaTa",1170,2,1,38
"7","Super built-up  Area","Old Airport Road",4,"Jaades ",2732,4,2,204
"8","Super built-up  Area","Rajaji Nagar",4,"Brway G",3300,4,2,600
"9","Super built-up  Area","Marathahalli",3,"Unknown",1310,3,1,63.25
"10","Plot  Area","Gandhi Bazar",6,"Unknown",1020,6,2,370
"11","Super built-up  Area","Whitefield",3,"Unknown",1800,2,2,70
"12","Plot  Area","Whitefield",4,"Prrry M",2785,5,3,295
"13","Super built-up  Area","7th Phase JP Nagar",2,"Shncyes",1000,2,1,38
"14","Built-up  Area","Gottigere",2,"Unknown",1100,2,2,40
"15","Plot  Area","Sarjapur",3,"Skityer",2250,3,2,148
"16","Super built-up  Area","Mysore Road",2,"PrntaEn",1175,2,2,73.5
"17","Super built-up  Area","Bisuvanahalli",3,"Prityel",1180,3,2,48
"18","Super built-up  Area","Raja Rajeshwari Nagar",3,"GrrvaGr",1540,3,3,60
"19","Super built-up  Area","Ramakrishnappa Layout",3,"PeBayle",2770,4,2,290
"20","Super built-up  Area","Manayata Tech Park",2,"Unknown",1100,2,2,48
"21","Built-up  Area","Kengeri",1,"Unknown",600,1,1,15
"22","Super built-up  Area","Binny Pete",3,"She 2rk",1755,3,1,122
"23","Plot  Area","Thanisandra",4,"Soitya ",2800,5,2,380
"24","Super built-up  Area","Bellandur",3,"Unknown",1767,3,1,103
"25","Super built-up  Area"," Thanisandra",1,"Bhe 2ko",510,1,0,25.25
"26","Super built-up  Area","Mangammanapalya",3,"Unknown",1250,3,2,56
"27","Super built-up  Area","Electronic City",2,"Itelaa ",660,1,1,23.1
"28","Built-up  Area","Whitefield",3,"Unknown",1610,3,2,81
"29","Super built-up  Area","Ramagondanahalli",2,"ViistLa",1151,2,2,48.77
"30","Super built-up  Area","Electronic City",3,"KBityo ",1025,2,1,47
"31","Super built-up  Area","Yelahanka",4,"LedorSa",2475,4,0,186
"32","Super built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,35
"33","Super built-up  Area","Hebbal",3,"Mahosya",1760,2,2,123
"34","Super built-up  Area","Raja Rajeshwari Nagar",3,"GrrvaGr",1693,3,3,57.39
"35","Built-up  Area","Kasturi Nagar",3,"Kantsce",1925,3,2,125
"36","Super built-up  Area","Kanakpura Road",2,"PrarePa",700,2,1,36
"37","Super built-up  Area","Electronics City Phase 1",2,"Unknown",1070,2,1,45.5
"38","Super built-up  Area","Kundalahalli",3,"Dieldli",1724,3,2,125
"39","Super built-up  Area","Chikkalasandra",3,"Unknown",1290,2,2,56.12
"40","Built-up  Area","Uttarahalli",2,"Unknown",1143,2,2,45
"41","Built-up  Area","Murugeshpalya",2,"Gentson",1296,2,2,81
"42","Super built-up  Area","Sarjapur  Road",3,"Soini T",1254,3,2,38
"43","Super built-up  Area","Ganga Nagar",1,"Ceove G",600,1,0,38
"44","Plot  Area","Yelahanka",1,"Unknown",660,1,0,48
"45","Super built-up  Area","Kanakpura Road",2,"Soazak ",1290,2,2,91.79
"46","Plot  Area","HSR Layout",8,"Unknown",600,9,2,200
"47","Super built-up  Area","Doddathoguru",2,"LancyRe",970,2,0,33
"48","Super built-up  Area","Whitefield",2,"Goted U",1459,2,1,94.82
"49","Plot  Area","KR Puram",2,"Unknown",800,1,1,130
"50","Built-up  Area","Himagiri Meadows",2,"Unknown",869,2,1,36
