"area_type","location","size","society","total_sqft","bath","balcony","price"
"Super built-up  Area","Electronic City Phase II",2,"Coomee ",1056,2,1,39.07
"Plot  Area","Chikka Tirupathi",4,"Theanmp",2600,5,3,120
"Built-up  Area","Uttarahalli",3,"Unknown",1440,2,3,62
"Super built-up  Area","Lingadheeranahalli",3,"Soiewre",1521,3,1,95
"Super built-up  Area","Kothanur",2,"Unknown",1200,2,1,51
"Super built-up  Area","Whitefield",2,"DuenaTa",1170,2,1,38
"Super built-up  Area","Old Airport Road",4,"Jaades ",2732,4,2,204
"Super built-up  Area","Rajaji Nagar",4,"Brway G",3300,4,2,600
"Super built-up  Area","Marathahalli",3,"Unknown",1310,3,1,63.25
"Plot  Area","Gandhi Bazar",6,"Unknown",1020,6,2,370
"Super built-up  Area","Whitefield",3,"Unknown",1800,2,2,70
"Plot  Area","Whitefield",4,"Prrry M",2785,5,3,295
"Super built-up  Area","7th Phase JP Nagar",2,"Shncyes",1000,2,1,38
"Built-up  Area","Gottigere",2,"Unknown",1100,2,2,40
"Plot  Area","Sarjapur",3,"Skityer",2250,3,2,148
"Super built-up  Area","Mysore Road",2,"PrntaEn",1175,2,2,73.5
"Super built-up  Area","Bisuvanahalli",3,"Prityel",1180,3,2,48
"Super built-up  Area","Raja Rajeshwari Nagar",3,"GrrvaGr",1540,3,3,60
"Super built-up  Area","Ramakrishnappa Layout",3,"PeBayle",2770,4,2,290
"Super built-up  Area","Manayata Tech Park",2,"Unknown",1100,2,2,48
"Built-up  Area","Kengeri",1,"Unknown",600,1,1,15
"Super built-up  Area","Binny Pete",3,"She 2rk",1755,3,1,122
"Plot  Area","Thanisandra",4,"Soitya ",2800,5,2,380
"Super built-up  Area","Bellandur",3,"Unknown",1767,3,1,103
"Super built-up  Area"," Thanisandra",1,"Bhe 2ko",510,1,0,25.25
"Super built-up  Area","Mangammanapalya",3,"Unknown",1250,3,2,56
"Super built-up  Area","Electronic City",2,"Itelaa ",660,1,1,23.1
"Built-up  Area","Whitefield",3,"Unknown",1610,3,2,81
"Super built-up  Area","Ramagondanahalli",2,"ViistLa",1151,2,2,48.77
"Super built-up  Area","Electronic City",3,"KBityo ",1025,2,1,47
"Super built-up  Area","Yelahanka",4,"LedorSa",2475,4,0,186
"Super built-up  Area","Bisuvanahalli",3,"Prityel",1075,2,1,35
